Sequence_ID	sample_name
ASV_1	Ran_d1_Rcc_e40_1
ASV_10	Browns_ThreeSqA_D1
ASV_100	Browns_ThreeSqA_D2
ASV_1000	MayberryNE_CattailB_D2
ASV_10000	Alt_d2_FW_14M
ASV_100000	WestPond_TuleB_D2
ASV_100003	Sandmound_ThreeSqB_D2
ASV_100006	MayberryNW_CattailC_D1
ASV_100007	Sandmound_ThreeSqA_D1
ASV_100008	MayberryNW_TuleB_D1
ASV_100009	Sandmound_ThreeSqA_D2
ASV_10001	Browns_ThreeSqB_D1
ASV_100011	MayberryNE_TuleC_D1
ASV_100012	MayberryNE_TuleB_D1
ASV_100013	MayberryNE_TuleA_D1
ASV_100014	MayberryNE_CattailA_D1
ASV_100016	MayberrySE_CattailA_D1
ASV_10002	Sandmound_CattailA_D1
ASV_100028	WestPond_TuleB_D2
ASV_100029	MayberryNE_TuleC_D1
ASV_10003	Browns_ThreeSqA_D1
ASV_100031	Sandmound_CattailA_D1
ASV_100032	Sandmound_ThreeSqB_D1
ASV_100033	MayberryNW_TuleA_D1
ASV_100035	WestPond_TuleA_D2
ASV_100036	MayberryNE_TuleB_D2
ASV_100038	Sandmound_ThreeSqA_D1
ASV_10004	MayberryNE_CattailA_D1
ASV_100040	MayberryNE_TuleA_D1
ASV_100042	MayberryNE_CattailB_D1
ASV_100044	MayberryNE_CattailB_D1
ASV_100046	WestPond_TuleB_D2
ASV_100047	Sandmound_ThreeSqC_D2
ASV_10005	Browns_ThreeSqA_D2
ASV_100055	WestPond_TuleC_D1
ASV_100059	WestPond_CattailC_D2
ASV_10006	Sandmound_CattailA_D1
ASV_100062	MayberryNE_TuleA_D2
ASV_100063	Sandmound_TuleB_D2
ASV_100064	MayberrySE_CattailA_D1
ASV_100065	MayberryNE_TuleC_D2
ASV_100066	MayberryNE_CattailB_D1
ASV_100069	Sandmound_ThreeSqA_D1
ASV_100076	Sandmound_CattailA_D1
ASV_100077	Browns_ThreeSqB_D1
ASV_100082	MayberryNE_TuleA_D2
ASV_100085	Browns_ThreeSqC_D2
ASV_100088	MayberryNW_CattailA_D1
ASV_10009	Ran_d1_Rcc_e40_2
ASV_100095	Browns_ThreeSqC_D2
ASV_100096	WestPond_TuleB_D2
ASV_100098	Browns_TuleC_D1
ASV_1001	Ran_d1_Rcc_e40_1
ASV_10010	Ran_d1_Rcc_e40_1
ASV_100100	Sandmound_CattailA_D1
ASV_100102	Browns_ThreeSqB_D1
ASV_100104	MayberryNE_TuleC_D2
ASV_100108	MayberryNE_TuleA_D1
ASV_10011	Alt_d1_SAL_12T
ASV_100110	MayberryNE_TuleB_D2
ASV_100113	MayberryNW_TuleB_D1
ASV_100114	Sandmound_TuleA_D2
ASV_100115	MayberryNW_CattailA_D1
ASV_100116	Browns_TuleB_D1
ASV_100118	MayberryNE_CattailB_D2
ASV_10012	Alt_d2_Ctrl_5M
ASV_100120	MayberryNW_CattailC_D2
ASV_100121	Sandmound_ThreeSqB_D1
ASV_100122	MayberryNE_TuleA_D1
ASV_100123	Sandmound_ThreeSqC_D1
ASV_10013	Alt_d2_SAL_8M
ASV_100130	Browns_ThreeSqC_D1
ASV_100133	Sandmound_ThreeSqC_D1
ASV_100135	Browns_TuleC_D1
ASV_100136	MayberrySE_CattailA_D1
ASV_100138	MayberryNW_TuleA_D2
ASV_10014	TL_inc_d1_DI_ctrl_2
ASV_100140	MayberryNE_TuleC_D1
ASV_100142	MayberryNE_CattailC_D1
