LIB	TOTAL	Ran_d1_Rcc_e00_1	Ran_d1_Rcc_e00_2	Ran_d1_Rcc_e40_1	Ran_d1_Rcc_e40_2	Ran_d1_Sal_e00_1	Ran_d1_Sal_e00_2	Ran_d1_Sal_e40_1	Ran_d1_Sal_e40_2	Ran_d1_Stw_e00_1	Ran_d1_Stw_e00_2	Ran_d1_Stw_e40_1	Ran_d1_Stw_e40_2	Ran_d1_Stw_e40_3	Ran_d2_Rcc_e00_1	Ran_d2_Rcc_e00_2	Ran_d2_Rcc_e40_1	Ran_d2_Rcc_e40_2	Ran_d2_Sal_e00_1	Ran_d2_Sal_e00_2	Ran_d2_Sal_e40_1	Ran_d2_Sal_e40_2	Ran_d2_Stw_e00_1	Ran_d2_Stw_e00_2	Ran_d2_Stw_e40_1	Ran_d2_Stw_e40_2	Ran_d2_Stw_e40_3	TS_FW_d1_00_1	TS_FW_d1_00_2	TS_FW_d1_04_1	TS_FW_d1_04_2	TS_FW_d1_07_1	TS_FW_d1_07_2	TS_FW_d1_12_1	TS_FW_d1_12_2	TS_FW_d2_00_1	TS_FW_d2_00_2	TS_FW_d2_04_1	TS_FW_d2_04_2	TS_FW_d2_07_1	TS_FW_d2_07_2	TS_FW_d2_12_1	TS_FW_d2_12_2	TS_SW_d1_04_1	TS_SW_d1_04_2	TS_SW_d1_07_1	TS_SW_d1_07_2	TS_SW_d1_12_1	TS_SW_d1_12_2	TS_SW_d2_04_1	TS_SW_d2_04_2	TS_SW_d2_07_1	TS_SW_d2_07_2	TS_SW_d2_12_1	TS_SW_d2_12_2	d1_Ran_0_1	d1_Ran_0_2	d1_Ran_F_e00_1	d1_Ran_F_e00_2	d1_Ran_F_e40_1	d1_Ran_F_e40_2	d1_Rcc_0_1	d1_Rcc_F_e00_1	d1_Rcc_F_e00_2	d1_Rcc_F_e40_1	d1_Rcc_F_e40_2	d1_Sal_0_1	d1_Sal_F_e00_1	d1_Sal_F_e00_2	d1_Sal_F_e40_1	d1_Sal_F_e40_2	d1_Stw_0_1	d1_Stw_F_e00_1	d1_Stw_F_e00_2	d1_Stw_F_e40_1	d2_Ran_0_1	d2_Ran_0_2	d2_Ran_F_e00_1	d2_Ran_F_e40_1	d2_Ran_F_e40_2	d2_Rcc_0_1	d2_Rcc_F_e00_1	d2_Rcc_F_e40_1	d2_Rcc_F_e40_2	d2_Sal_0_1	d2_Sal_F_e00_1	d2_Sal_F_e00_2	d2_Sal_F_e40_1	d2_Sal_F_e40_2	d2_Stw_0_1	d2_Stw_F_e00_1	d2_Stw_F_e00_2	d2_Stw_F_e40_1
INPUT	9,062,136	92,102	75,069	98,655	88,575	91,277	67,459	92,922	99,330	121,104	109,207	119,395	93,847	112,245	108,152	82,616	125,696	102,213	111,370	91,472	124,682	125,684	83,035	109,519	128,191	105,338	84,719	93,694	83,353	73,232	91,565	96,358	112,003	75,970	88,256	94,573	62,819	126,542	98,102	111,285	97,320	85,842	75,982	98,473	107,653	98,516	113,127	90,523	108,297	108,905	67,126	91,847	70,623	99,288	46,165	117,875	128,592	95,928	91,956	86,669	129,280	116,187	103,954	100,891	90,108	114,657	86,702	112,952	39,345	93,746	103,681	94,577	76,670	103,628	92,216	103,758	99,576	97,012	102,488	114,824	134,435	98,703	115,828	100,215	110,945	91,300	101,062	103,782	84,055	111,233	97,965	100,045	103,983
CLUSTERABLE	6,527,418	62,965	51,834	71,322	64,299	66,141	48,427	67,430	72,633	90,828	76,655	82,726	66,629	78,318	78,550	57,457	89,064	67,251	74,601	64,707	87,693	89,488	59,003	75,679	90,863	74,811	68,296	67,996	59,067	54,041	66,484	71,375	79,932	53,168	65,983	67,307	45,302	94,573	71,481	80,224	69,970	61,716	57,267	73,387	79,697	73,282	82,532	67,701	76,443	80,360	49,443	66,690	50,928	71,217	34,804	77,613	87,701	66,470	62,587	63,113	90,611	84,690	75,910	72,968	63,709	85,349	61,763	84,556	29,867	70,049	76,862	69,103	55,317	71,603	63,685	74,254	66,197	68,543	71,893	81,340	94,463	75,873	79,199	79,329	77,749	70,157	80,882	77,708	62,533	85,376	76,173	73,680	68,503
CLUSTERABLE PCT	72%	68.4%	69%	72.3%	72.6%	72.5%	71.8%	72.6%	73.1%	75%	70.2%	69.3%	71%	69.8%	72.6%	69.5%	70.9%	65.8%	67%	70.7%	70.3%	71.2%	71.1%	69.1%	70.9%	71%	80.6%	72.6%	70.9%	73.8%	72.6%	74.1%	71.4%	70%	74.8%	71.2%	72.1%	74.7%	72.9%	72.1%	71.9%	71.9%	75.4%	74.5%	74%	74.4%	73%	74.8%	70.6%	73.8%	73.7%	72.6%	72.1%	71.7%	75.4%	65.8%	68.2%	69.3%	68.1%	72.8%	70.1%	72.9%	73%	72.3%	70.7%	74.4%	71.2%	74.9%	75.9%	74.7%	74.1%	73.1%	72.1%	69.1%	69.1%	71.6%	66.5%	70.7%	70.1%	70.8%	70.3%	76.9%	68.4%	79.2%	70.1%	76.8%	80%	74.9%	74.4%	76.8%	77.8%	73.6%	65.9%
SINGLETS	2,534,718	29,137	23,235	27,333	24,276	25,136	19,032	25,492	26,697	30,276	32,552	36,669	27,218	33,927	29,602	25,159	36,632	34,962	36,769	26,765	36,989	36,196	24,032	33,840	37,328	30,527	16,423	25,698	24,286	19,191	25,081	24,983	32,071	22,802	22,273	27,266	17,517	31,969	26,621	31,061	27,350	24,126	18,715	25,086	27,956	25,234	30,595	22,822	31,854	28,545	17,683	25,157	19,695	28,071	11,361	40,262	40,891	29,458	29,369	23,556	38,669	31,497	28,044	27,923	26,399	29,308	24,939	28,396	9,478	23,697	26,819	25,474	21,353	32,025	28,531	29,504	33,379	28,469	30,595	33,484	39,972	22,830	36,629	20,886	33,196	21,143	20,180	26,074	21,522	25,857	21,792	26,365	35,480
SINGLETS PCT	28%	31.6%	31%	27.7%	27.4%	27.5%	28.2%	27.4%	26.9%	25%	29.8%	30.7%	29%	30.2%	27.4%	30.5%	29.1%	34.2%	33%	29.3%	29.7%	28.8%	28.9%	30.9%	29.1%	29%	19.4%	27.4%	29.1%	26.2%	27.4%	25.9%	28.6%	30%	25.2%	28.8%	27.9%	25.3%	27.1%	27.9%	28.1%	28.1%	24.6%	25.5%	26%	25.6%	27%	25.2%	29.4%	26.2%	26.3%	27.4%	27.9%	28.3%	24.6%	34.2%	31.8%	30.7%	31.9%	27.2%	29.9%	27.1%	27%	27.7%	29.3%	25.6%	28.8%	25.1%	24.1%	25.3%	25.9%	26.9%	27.9%	30.9%	30.9%	28.4%	33.5%	29.3%	29.9%	29.2%	29.7%	23.1%	31.6%	20.8%	29.9%	23.2%	20%	25.1%	25.6%	23.2%	22.2%	26.4%	34.1%
CLUST CHIMERA	2,702,698	27,525	21,946	29,981	26,631	28,013	20,742	27,172	28,661	33,253	29,629	33,962	27,503	33,802	32,852	27,729	41,746	31,489	33,936	29,875	39,872	40,480	25,565	31,794	35,588	29,981	17,153	29,465	26,089	22,602	29,151	30,828	34,427	23,729	25,109	28,925	20,640	41,509	26,612	35,719	30,982	23,136	21,748	31,341	34,040	31,567	35,218	29,514	32,967	33,097	23,035	27,161	22,634	31,621	12,244	38,115	38,256	29,996	28,683	24,725	37,891	36,201	31,451	30,964	27,286	37,428	24,192	31,392	9,555	27,039	29,951	24,676	21,659	31,701	26,074	29,925	34,294	28,784	32,372	35,916	41,019	30,416	38,488	28,912	30,265	25,338	20,980	29,020	22,946	31,152	15,570	26,780	31,296
CLUST CHIMERA PCT	41.4%	43.7%	42.3%	42%	41.4%	42.4%	42.8%	40.3%	39.5%	36.6%	38.7%	41.1%	41.3%	43.2%	41.8%	48.3%	46.9%	46.8%	45.5%	46.2%	45.5%	45.2%	43.3%	42%	39.2%	40.1%	25.1%	43.3%	44.2%	41.8%	43.8%	43.2%	43.1%	44.6%	38.1%	43%	45.6%	43.9%	37.2%	44.5%	44.3%	37.5%	38%	42.7%	42.7%	43.1%	42.7%	43.6%	43.1%	41.2%	46.6%	40.7%	44.4%	44.4%	35.2%	49.1%	43.6%	45.1%	45.8%	39.2%	41.8%	42.7%	41.4%	42.4%	42.8%	43.9%	39.2%	37.1%	32%	38.6%	39%	35.7%	39.2%	44.3%	40.9%	40.3%	51.8%	42%	45%	44.2%	43.4%	40.1%	48.6%	36.4%	38.9%	36.1%	25.9%	37.3%	36.7%	36.5%	20.4%	36.3%	45.7%
SINGLETS MAPPED	1,768,022	19,058	15,326	18,712	16,483	16,279	12,894	16,708	17,389	21,596	21,556	24,274	19,078	21,952	21,385	16,465	25,385	22,329	23,668	19,025	26,190	25,639	16,273	23,817	25,467	19,925	12,760	17,669	15,387	14,392	17,995	17,635	21,079	16,998	17,298	20,668	12,915	21,889	20,367	23,201	21,698	18,207	14,313	17,037	19,810	17,614	22,041	16,731	23,708	21,310	14,669	20,282	15,486	21,822	9,949	27,377	27,118	19,003	18,986	16,367	27,131	21,322	19,003	19,087	18,126	20,108	16,120	19,379	6,924	16,590	18,127	17,401	13,700	20,979	18,417	19,104	22,791	19,558	22,177	23,286	26,888	17,941	26,194	15,500	21,408	15,537	15,512	17,610	14,043	19,082	16,728	17,994	23,601
SINGLETS MAPPED PCT	69.8%	65.4%	66%	68.5%	67.9%	64.8%	67.7%	65.5%	65.1%	71.3%	66.2%	66.2%	70.1%	64.7%	72.2%	65.4%	69.3%	63.9%	64.4%	71.1%	70.8%	70.8%	67.7%	70.4%	68.2%	65.3%	77.7%	68.8%	63.4%	75%	71.7%	70.6%	65.7%	74.5%	77.7%	75.8%	73.7%	68.5%	76.5%	74.7%	79.3%	75.5%	76.5%	67.9%	70.9%	69.8%	72%	73.3%	74.4%	74.7%	83%	80.6%	78.6%	77.7%	87.6%	68%	66.3%	64.5%	64.6%	69.5%	70.2%	67.7%	67.8%	68.4%	68.7%	68.6%	64.6%	68.2%	73.1%	70%	67.6%	68.3%	64.2%	65.5%	64.6%	64.8%	68.3%	68.7%	72.5%	69.5%	67.3%	78.6%	71.5%	74.2%	64.5%	73.5%	76.9%	67.5%	65.2%	73.8%	76.8%	68.2%	66.5%
BEFORE REF-CHIMERA FILTER	5,592,742	54,498	45,214	60,053	54,151	54,407	40,579	56,966	61,361	79,171	68,582	73,038	58,204	66,468	67,083	46,193	72,703	58,091	64,333	53,857	74,011	74,647	49,711	67,702	80,742	64,755	63,903	56,200	48,365	45,831	55,328	58,182	66,584	46,437	58,172	59,050	37,577	74,953	65,236	67,706	60,686	56,787	49,832	59,083	65,467	59,329	69,355	54,918	67,184	68,573	41,077	59,811	43,780	61,418	32,509	66,875	76,563	55,477	52,890	54,755	79,851	69,811	63,462	61,091	54,549	68,029	53,691	72,543	27,236	59,600	65,038	61,828	47,358	60,881	56,028	63,433	54,694	59,317	61,698	68,710	80,332	63,398	66,905	65,917	68,892	60,356	75,414	66,298	53,630	73,306	77,331	64,894	60,808
