LIB	TOTAL	Alt_d1_Ctrl_10T	Alt_d1_Ctrl_15T	Alt_d1_Ctrl_3T	Alt_d1_Ctrl_5T	Alt_d1_Ctrl_9T	Alt_d1_FW_11T	Alt_d1_FW_14T	Alt_d1_FW_1T	Alt_d1_FW_4T	Alt_d1_FW_7T	Alt_d1_SAL_12T	Alt_d1_SAL_13T	Alt_d1_SAL_2T	Alt_d1_SAL_6T	Alt_d1_SAL_8T	Alt_d2_Ctrl_10M	Alt_d2_Ctrl_15M	Alt_d2_Ctrl_3M	Alt_d2_Ctrl_5M	Alt_d2_Ctrl_9M	Alt_d2_FW_11M	Alt_d2_FW_14M	Alt_d2_FW_1M	Alt_d2_FW_4M	Alt_d2_FW_7M	Alt_d2_SAL_12M	Alt_d2_SAL_13M	Alt_d2_SAL_2M	Alt_d2_SAL_6M	Alt_d2_SAL_8M	TL_d1_field_Core_10	TL_d1_field_Core_19	TL_d1_field_Core_36	TL_d1_field_Core_43	TL_d1_field_Core_46	TL_d2_field_Core_10	TL_d2_field_Core_19	TL_d2_field_Core_36	TL_d2_field_Core_43	TL_d2_field_Core_46	TL_inc_d1_ASW_3	TL_inc_d1_ASW_4	TL_inc_d1_ASW_5	TL_inc_d1_ASW_noS_1	TL_inc_d1_ASW_noS_2	TL_inc_d1_ASW_noS_3	TL_inc_d1_ASW_noS_4	TL_inc_d1_ASW_noS_5	TL_inc_d1_DI_ctrl_2	TL_inc_d1_DI_ctrl_3	TL_inc_d1_DI_ctrl_4	TL_inc_d1_DI_ctrl_5	TL_inc_d1_SO4_3	TL_inc_d1_SO4_4	TL_inc_d1_SO4_5A	TL_inc_d1_SO4_5B	TL_inc_d2_ASW_1	TL_inc_d2_ASW_3	TL_inc_d2_ASW_4	TL_inc_d2_ASW_5	TL_inc_d2_ASW_noS_2	TL_inc_d2_ASW_noS_3	TL_inc_d2_ASW_noS_4	TL_inc_d2_ASW_noS_5	TL_inc_d2_DI_ctrl_1	TL_inc_d2_DI_ctrl_3	TL_inc_d2_DI_ctrl_4	TL_inc_d2_DI_ctrl_5	TL_inc_d2_SO4_2	TL_inc_d2_SO4_3	TL_inc_d2_SO4_4	TL_inc_d2_SO4_5A	TL_inc_d2_SO4_5B	TL_nw_d1_ASW_noS_BF3	TL_nw_d1_ASW_noS_BF4	TL_nw_d1_ASW_noS_BF5	TL_nw_d1_DI_ctrl_AF1	TL_nw_d1_DI_ctrl_AF3	TL_nw_d1_DI_ctrl_AF4	d1_Sal_0_2	d1_Stw_0_2	d1_Stw_0_2_NW	d2_Sal_0_2	d2_Stw_0_2	d2_Stw_0_2_NW
INPUT	19,633,435	281,988	236,432	264,953	261,237	259,823	259,839	283,507	238,154	303,360	256,782	275,985	283,405	254,096	263,776	196,942	266,054	153,357	290,704	243,274	271,655	269,669	232,575	235,934	174,618	224,157	274,868	292,851	265,367	251,134	256,415	266,281	233,246	232,859	237,523	286,762	241,038	239,169	237,662	250,333	220,966	188,317	170,201	175,211	218,458	195,907	216,081	217,455	190,721	195,139	204,635	181,459	208,695	211,507	197,899	213,470	242,204	181,215	192,562	188,275	218,716	186,965	194,906	199,165	230,175	213,153	200,656	167,401	186,425	238,407	219,611	244,205	254,579	218,592	213,997	246,437	233,369	202,381	267,965	250,060	261,778	230,512	255,988	234,562	207,348	197,921
CLUSTERABLE	15,076,750	198,796	162,172	192,260	180,475	191,897	188,535	203,818	169,741	214,944	188,815	201,899	214,185	185,940	198,480	144,691	195,621	107,190	209,189	176,364	197,539	187,444	160,490	170,149	126,328	162,279	204,984	212,724	192,369	180,056	189,924	199,570	171,934	174,322	175,526	212,966	182,928	184,690	182,368	194,922	169,236	161,921	146,641	156,591	184,535	176,117	184,832	177,949	159,183	158,967	151,898	147,947	159,793	156,016	157,742	165,248	191,408	164,429	171,217	157,105	179,050	158,981	172,124	173,352	192,595	167,084	153,662	132,699	150,124	199,407	174,238	199,121	206,931	165,775	180,170	199,679	188,037	158,285	206,498	194,065	181,474	177,314	193,560	165,444	166,122	153,660
CLUSTERABLE PCT	76.8%	70.5%	68.6%	72.6%	69.1%	73.9%	72.6%	71.9%	71.3%	70.9%	73.5%	73.2%	75.6%	73.2%	75.2%	73.5%	73.5%	69.9%	72%	72.5%	72.7%	69.5%	69%	72.1%	72.3%	72.4%	74.6%	72.6%	72.5%	71.7%	74.1%	74.9%	73.7%	74.9%	73.9%	74.3%	75.9%	77.2%	76.7%	77.9%	76.6%	86%	86.2%	89.4%	84.5%	89.9%	85.5%	81.8%	83.5%	81.5%	74.2%	81.5%	76.6%	73.8%	79.7%	77.4%	79%	90.7%	88.9%	83.4%	81.9%	85%	88.3%	87%	83.7%	78.4%	76.6%	79.3%	80.5%	83.6%	79.3%	81.5%	81.3%	75.8%	84.2%	81%	80.6%	78.2%	77.1%	77.6%	69.3%	76.9%	75.6%	70.5%	80.1%	77.6%
SINGLETS	4,556,685	83,192	74,260	72,693	80,762	67,926	71,304	79,689	68,413	88,416	67,967	74,086	69,220	68,156	65,296	52,251	70,433	46,167	81,515	66,910	74,116	82,225	72,085	65,785	48,290	61,878	69,884	80,127	72,998	71,078	66,491	66,711	61,312	58,537	61,997	73,796	58,110	54,479	55,294	55,411	51,730	26,396	23,560	18,620	33,923	19,790	31,249	39,506	31,538	36,172	52,737	33,512	48,902	55,491	40,157	48,222	50,796	16,786	21,345	31,170	39,666	27,984	22,782	25,813	37,580	46,069	46,994	34,702	36,301	39,000	45,373	45,084	47,648	52,817	33,827	46,758	45,332	44,096	61,467	55,995	80,304	53,198	62,428	69,118	41,226	44,261
SINGLETS PCT	23.2%	29.5%	31.4%	27.4%	30.9%	26.1%	27.4%	28.1%	28.7%	29.1%	26.5%	26.8%	24.4%	26.8%	24.8%	26.5%	26.5%	30.1%	28%	27.5%	27.3%	30.5%	31%	27.9%	27.7%	27.6%	25.4%	27.4%	27.5%	28.3%	25.9%	25.1%	26.3%	25.1%	26.1%	25.7%	24.1%	22.8%	23.3%	22.1%	23.4%	14%	13.8%	10.6%	15.5%	10.1%	14.5%	18.2%	16.5%	18.5%	25.8%	18.5%	23.4%	26.2%	20.3%	22.6%	21%	9.3%	11.1%	16.6%	18.1%	15%	11.7%	13%	16.3%	21.6%	23.4%	20.7%	19.5%	16.4%	20.7%	18.5%	18.7%	24.2%	15.8%	19%	19.4%	21.8%	22.9%	22.4%	30.7%	23.1%	24.4%	29.5%	19.9%	22.4%
CLUST CHIMERA	6,724,501	96,811	82,242	90,965	92,320	91,187	84,942	88,080	77,198	105,281	84,382	78,441	79,570	72,856	74,472	59,991	90,582	51,941	97,863	82,064	93,223	89,152	78,345	79,837	60,780	76,785	81,056	84,186	77,826	79,611	78,460	100,588	87,441	89,544	89,591	111,114	93,317	87,793	91,631	98,144	85,468	66,404	70,989	41,936	60,042	57,744	59,397	72,087	64,684	74,131	79,098	73,456	79,657	83,026	75,255	81,546	96,363	63,560	69,497	77,480	83,877	50,922	72,963	60,045	72,663	87,471	87,714	68,675	69,645	94,785	85,620	100,399	97,481	79,254	56,547	79,403	76,439	75,776	102,204	90,868	82,257	58,064	63,195	72,770	57,474	56,558
CLUST CHIMERA PCT	44.6%	48.7%	50.7%	47.3%	51.2%	47.5%	45.1%	43.2%	45.5%	49%	44.7%	38.9%	37.2%	39.2%	37.5%	41.5%	46.3%	48.5%	46.8%	46.5%	47.2%	47.6%	48.8%	46.9%	48.1%	47.3%	39.5%	39.6%	40.5%	44.2%	41.3%	50.4%	50.9%	51.4%	51%	52.2%	51%	47.5%	50.2%	50.4%	50.5%	41%	48.4%	26.8%	32.5%	32.8%	32.1%	40.5%	40.6%	46.6%	52.1%	49.7%	49.9%	53.2%	47.7%	49.3%	50.3%	38.7%	40.6%	49.3%	46.8%	32%	42.4%	34.6%	37.7%	52.4%	57.1%	51.8%	46.4%	47.5%	49.1%	50.4%	47.1%	47.8%	31.4%	39.8%	40.7%	47.9%	49.5%	46.8%	45.3%	32.7%	32.6%	44%	34.6%	36.8%
SINGLETS MAPPED	2,794,657	48,483	39,162	45,649	44,572	44,316	44,682	48,729	45,181	56,891	45,217	47,476	45,803	42,452	43,222	34,456	45,123	26,093	50,024	40,377	46,716	49,073	48,370	40,829	30,152	38,173	44,027	50,899	45,307	44,727	44,164	38,292	35,728	35,067	34,750	44,672	34,434	32,714	33,768	34,148	30,202	22,150	16,150	12,608	18,822	15,167	20,913	22,825	19,386	19,746	24,724	18,251	22,502	25,258	20,705	23,628	27,597	13,553	15,398	19,219	23,898	22,366	19,964	18,055	26,217	22,209	29,763	18,596	18,453	24,437	23,427	28,813	27,829	25,932	22,106	29,994	26,706	25,333	36,431	31,562	53,167	37,037	43,694	45,039	29,737	31,170
SINGLETS MAPPED PCT	61.3%	58.3%	52.7%	62.8%	55.2%	65.2%	62.7%	61.1%	66%	64.3%	66.5%	64.1%	66.2%	62.3%	66.2%	65.9%	64.1%	56.5%	61.4%	60.3%	63%	59.7%	67.1%	62.1%	62.4%	61.7%	63%	63.5%	62.1%	62.9%	66.4%	57.4%	58.3%	59.9%	56.1%	60.5%	59.3%	60%	61.1%	61.6%	58.4%	83.9%	68.5%	67.7%	55.5%	76.6%	66.9%	57.8%	61.5%	54.6%	46.9%	54.5%	46%	45.5%	51.6%	49%	54.3%	80.7%	72.1%	61.7%	60.2%	79.9%	87.6%	69.9%	69.8%	48.2%	63.3%	53.6%	50.8%	62.7%	51.6%	63.9%	58.4%	49.1%	65.4%	64.1%	58.9%	57.4%	59.3%	56.4%	66.2%	69.6%	70%	65.2%	72.1%	70.4%
BEFORE REF-CHIMERA FILTER	11,146,906	150,468	119,092	146,944	132,727	145,026	148,275	164,467	137,724	166,554	149,650	170,934	180,418	155,536	167,230	119,156	150,162	81,342	161,350	134,677	151,032	147,365	130,515	131,141	95,700	123,667	167,955	179,437	159,850	145,172	155,628	137,274	120,221	119,845	120,685	146,524	124,045	129,611	124,505	130,926	113,970	117,667	91,802	127,263	143,315	133,540	146,348	128,687	113,885	104,582	97,524	92,742	102,638	98,248	103,192	107,330	122,642	114,422	117,118	98,844	119,071	130,425	119,125	131,362	146,149	101,822	95,711	82,620	98,932	129,059	112,045	127,535	137,279	112,453	145,729	150,270	138,304	107,842	140,725	134,759	152,384	156,287	174,059	137,713	138,385	128,272
REF-CHIMERA	123,206	2,035	936	952	1,284	1,059	1,305	1,606	1,506	2,100	1,936	2,315	2,221	1,859	1,793	1,478	1,279	802	1,215	1,428	1,755	1,525	899	1,028	743	850	572	1,827	1,781	996	906	496	316	564	496	527	245	241	346	319	200	308	699	327	20,649	3,214	7,583	2,991	2,013	385	376	307	227	628	211	4,631	340	262	106	726	245	192	199	227	4,172	176	389	132	120	307	159	206	276	3,218	10,075	3,311	2,236	366	522	529	1,831	162	149	2,014	126	143
REF-CHIMERA PCT	1.1%	1.4%	0.8%	0.6%	1%	0.7%	0.9%	1%	1.1%	1.3%	1.3%	1.4%	1.2%	1.2%	1.1%	1.2%	0.9%	1%	0.8%	1.1%	1.2%	1%	0.7%	0.8%	0.8%	0.7%	0.3%	1%	1.1%	0.7%	0.6%	0.4%	0.3%	0.5%	0.4%	0.4%	0.2%	0.2%	0.3%	0.2%	0.2%	0.3%	0.8%	0.3%	14.4%	2.4%	5.2%	2.3%	1.8%	0.4%	0.4%	0.3%	0.2%	0.6%	0.2%	4.3%	0.3%	0.2%	0.1%	0.7%	0.2%	0.1%	0.2%	0.2%	2.9%	0.2%	0.4%	0.2%	0.1%	0.2%	0.1%	0.2%	0.2%	2.9%	6.9%	2.2%	1.6%	0.3%	0.4%	0.4%	1.2%	0.1%	0.1%	1.5%	0.1%	0.1%
CLUSTERED	11,023,700	148,433	118,156	145,992	131,443	143,967	146,970	162,861	136,218	164,454	147,714	168,619	178,197	153,677	165,437	117,678	148,883	80,540	160,135	133,249	149,277	145,840	129,616	130,113	94,957	122,817	167,383	177,610	158,069	144,176	154,722	136,778	119,905	119,281	120,189	145,997	123,800	129,370	124,159	130,607	113,770	117,359	91,103	126,936	122,666	130,326	138,765	125,696	111,872	104,197	97,148	92,435	102,411	97,620	102,981	102,699	122,302	114,160	117,012	98,118	118,826	130,233	118,926	131,135	141,977	101,646	95,322	82,488	98,812	128,752	111,886	127,329	137,003	109,235	135,654	146,959	136,068	107,476	140,203	134,230	150,553	156,125	173,910	135,699	138,259	128,129
CLUSTERED PCT	98.9%	98.6%	99.2%	99.4%	99%	99.3%	99.1%	99%	98.9%	98.7%	98.7%	98.6%	98.8%	98.8%	98.9%	98.8%	99.1%	99%	99.2%	98.9%	98.8%	99%	99.3%	99.2%	99.2%	99.3%	99.7%	99%	98.9%	99.3%	99.4%	99.6%	99.7%	99.5%	99.6%	99.6%	99.8%	99.8%	99.7%	99.8%	99.8%	99.7%	99.2%	99.7%	85.6%	97.6%	94.8%	97.7%	98.2%	99.6%	99.6%	99.7%	99.8%	99.4%	99.8%	95.7%	99.7%	99.8%	99.9%	99.3%	99.8%	99.9%	99.8%	99.8%	97.1%	99.8%	99.6%	99.8%	99.9%	99.8%	99.9%	99.8%	99.8%	97.1%	93.1%	97.8%	98.4%	99.7%	99.6%	99.6%	98.8%	99.9%	99.9%	98.5%	99.9%	99.9%
CLASSIFIED	10,950,808	147,577	117,516	144,198	130,773	143,118	146,131	162,163	135,524	163,524	147,171	167,690	177,162	153,176	164,654	116,724	147,239	79,429	158,611	132,078	147,377	144,040	128,045	129,121	94,186	121,745	166,671	176,068	157,532	143,105	153,572	136,102	119,145	118,509	119,584	145,175	123,212	128,812	123,463	129,984	113,341	116,776	90,869	126,611	122,292	130,010	138,398	125,225	111,431	103,885	96,869	92,245	102,197	97,418	102,560	102,466	122,149	113,428	116,359	97,870	118,672	129,879	117,939	130,653	141,782	101,559	95,043	82,399	98,667	128,467	111,742	127,163	136,722	108,712	135,197	146,197	135,422	107,120	139,771	133,766	149,155	152,717	167,142	134,597	134,543	123,477
CLASSIFIED PCT	99.3%	99.4%	99.5%	98.8%	99.5%	99.4%	99.4%	99.6%	99.5%	99.4%	99.6%	99.4%	99.4%	99.7%	99.5%	99.2%	98.9%	98.6%	99%	99.1%	98.7%	98.8%	98.8%	99.2%	99.2%	99.1%	99.6%	99.1%	99.7%	99.3%	99.3%	99.5%	99.4%	99.4%	99.5%	99.4%	99.5%	99.6%	99.4%	99.5%	99.6%	99.5%	99.7%	99.7%	99.7%	99.8%	99.7%	99.6%	99.6%	99.7%	99.7%	99.8%	99.8%	99.8%	99.6%	99.8%	99.9%	99.4%	99.4%	99.7%	99.9%	99.7%	99.2%	99.6%	99.9%	99.9%	99.7%	99.9%	99.9%	99.8%	99.9%	99.9%	99.8%	99.5%	99.7%	99.5%	99.5%	99.7%	99.7%	99.7%	99.1%	97.8%	96.1%	99.2%	97.3%	96.4%
UNCLASSIFIED	72,892	856	640	1,794	670	849	839	698	694	930	543	929	1,035	501	783	954	1,644	1,111	1,524	1,171	1,900	1,800	1,571	992	771	1,072	712	1,542	537	1,071	1,150	676	760	772	605	822	588	558	696	623	429	583	234	325	374	316	367	471	441	312	279	190	214	202	421	233	153	732	653	248	154	354	987	482	195	87	279	89	145	285	144	166	281	523	457	762	646	356	432	464	1,398	3,408	6,768	1,102	3,716	4,652
UNCLASSIFIED	0.7%	0.6%	0.5%	1.2%	0.5%	0.6%	0.6%	0.4%	0.5%	0.6%	0.4%	0.6%	0.6%	0.3%	0.5%	0.8%	1.1%	1.4%	1%	0.9%	1.3%	1.2%	1.2%	0.8%	0.8%	0.9%	0.4%	0.9%	0.3%	0.7%	0.7%	0.5%	0.6%	0.6%	0.5%	0.6%	0.5%	0.4%	0.6%	0.5%	0.4%	0.5%	0.3%	0.3%	0.3%	0.2%	0.3%	0.4%	0.4%	0.3%	0.3%	0.2%	0.2%	0.2%	0.4%	0.2%	0.1%	0.6%	0.6%	0.3%	0.1%	0.3%	0.8%	0.4%	0.1%	0.1%	0.3%	0.1%	0.1%	0.2%	0.1%	0.1%	0.2%	0.5%	0.3%	0.5%	0.5%	0.3%	0.3%	0.3%	0.9%	2.2%	3.9%	0.8%	2.7%	3.6%
TAX-FILTER PASS	10,901,432	146,461	116,758	143,251	130,010	142,176	145,468	161,693	134,895	162,637	146,332	166,551	176,173	152,695	163,889	115,891	146,267	78,879	157,661	131,353	146,284	142,806	126,893	128,383	93,540	120,767	166,158	175,036	156,971	142,340	152,939	135,437	118,438	118,066	118,939	144,290	122,869	128,468	122,973	129,589	113,082	116,111	90,576	126,287	121,803	129,603	137,910	124,389	110,717	103,637	96,550	92,029	101,982	97,098	102,278	102,193	122,021	113,212	116,133	97,536	118,519	129,627	116,420	130,449	141,449	101,434	94,842	82,309	98,578	128,324	111,619	126,987	136,602	108,428	134,654	145,143	134,584	106,787	139,228	133,230	148,549	152,055	166,025	134,088	133,733	122,396
TAX-FILTER PASS PCT	99.5%	99.2%	99.4%	99.3%	99.4%	99.3%	99.5%	99.7%	99.5%	99.5%	99.4%	99.3%	99.4%	99.7%	99.5%	99.3%	99.3%	99.3%	99.4%	99.5%	99.3%	99.1%	99.1%	99.4%	99.3%	99.2%	99.7%	99.4%	99.6%	99.5%	99.6%	99.5%	99.4%	99.6%	99.5%	99.4%	99.7%	99.7%	99.6%	99.7%	99.8%	99.4%	99.7%	99.7%	99.6%	99.7%	99.6%	99.3%	99.4%	99.8%	99.7%	99.8%	99.8%	99.7%	99.7%	99.7%	99.9%	99.8%	99.8%	99.7%	99.9%	99.8%	98.7%	99.8%	99.8%	99.9%	99.8%	99.9%	99.9%	99.9%	99.9%	99.9%	99.9%	99.7%	99.6%	99.3%	99.4%	99.7%	99.6%	99.6%	99.6%	99.6%	99.3%	99.6%	99.4%	99.1%
TAX-FILTER FAIL	49,376	1,116	758	947	763	942	663	470	629	887	839	1,139	989	481	765	833	972	550	950	725	1,093	1,234	1,152	738	646	978	513	1,032	561	765	633	665	707	443	645	885	343	344	490	395	259	665	293	324	489	407	488	836	714	248	319	216	215	320	282	273	128	216	226	334	153	252	1,519	204	333	125	201	90	89	143	123	176	120	284	543	1,054	838	333	543	536	606	662	1,117	509	810	1,081
