#OTU	Alt_d1_Ctrl_10T	Alt_d1_Ctrl_15T	Alt_d1_Ctrl_3T	Alt_d1_Ctrl_5T	Alt_d1_Ctrl_9T	Alt_d1_FW_11T	Alt_d1_FW_14T	Alt_d1_FW_1T	Alt_d1_FW_4T	Alt_d1_FW_7T	Alt_d1_SAL_12T	Alt_d1_SAL_13T	Alt_d1_SAL_2T	Alt_d1_SAL_6T	Alt_d1_SAL_8T	Alt_d2_Ctrl_10M	Alt_d2_Ctrl_15M	Alt_d2_Ctrl_3M	Alt_d2_Ctrl_5M	Alt_d2_Ctrl_9M	Alt_d2_FW_11M	Alt_d2_FW_14M	Alt_d2_FW_1M	Alt_d2_FW_4M	Alt_d2_FW_7M	Alt_d2_SAL_12M	Alt_d2_SAL_13M	Alt_d2_SAL_2M	Alt_d2_SAL_6M	Alt_d2_SAL_8M	TL_d1_field_Core_10	TL_d1_field_Core_19	TL_d1_field_Core_36	TL_d1_field_Core_43	TL_d1_field_Core_46	TL_d2_field_Core_10	TL_d2_field_Core_19	TL_d2_field_Core_36	TL_d2_field_Core_43	TL_d2_field_Core_46	TL_inc_d1_ASW_3	TL_inc_d1_ASW_4	TL_inc_d1_ASW_5	TL_inc_d1_ASW_noS_1	TL_inc_d1_ASW_noS_2	TL_inc_d1_ASW_noS_3	TL_inc_d1_ASW_noS_4	TL_inc_d1_ASW_noS_5	TL_inc_d1_DI_ctrl_2	TL_inc_d1_DI_ctrl_3	TL_inc_d1_DI_ctrl_4	TL_inc_d1_DI_ctrl_5	TL_inc_d1_SO4_3	TL_inc_d1_SO4_4	TL_inc_d1_SO4_5A	TL_inc_d1_SO4_5B	TL_inc_d2_ASW_1	TL_inc_d2_ASW_3	TL_inc_d2_ASW_4	TL_inc_d2_ASW_5	TL_inc_d2_ASW_noS_2	TL_inc_d2_ASW_noS_3	TL_inc_d2_ASW_noS_4	TL_inc_d2_ASW_noS_5	TL_inc_d2_DI_ctrl_1	TL_inc_d2_DI_ctrl_3	TL_inc_d2_DI_ctrl_4	TL_inc_d2_DI_ctrl_5	TL_inc_d2_SO4_2	TL_inc_d2_SO4_3	TL_inc_d2_SO4_4	TL_inc_d2_SO4_5A	TL_inc_d2_SO4_5B	TL_nw_d1_ASW_noS_BF3	TL_nw_d1_ASW_noS_BF4	TL_nw_d1_ASW_noS_BF5	TL_nw_d1_DI_ctrl_AF1	TL_nw_d1_DI_ctrl_AF3	TL_nw_d1_DI_ctrl_AF4	d1_Sal_0_2	d1_Stw_0_2	d1_Stw_0_2_NW	d2_Sal_0_2	d2_Stw_0_2	d2_Stw_0_2_NW	Consensus lineage
920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	2	3	3	1	0	33	46	160	217	87	103	76	68	47	22	51	32	51	18	33	0	12	0	64	1	4	4	2	0	3	3	2	6	0	0	0	1	54	131	118	98	32	31	170	0	0	0	0	0	0	
990	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	144	440	4	415	613	
1133	3	1	44	6	20	2	0	1	1	12	0	1	1	0	0	42	30	29	5	1	0	1	0	4	0	0	0	0	0	0	2	11	12	14	23	28	13	34	21	23	5	0	5	1	0	2	0	6	40	87	9	44	5	207	62	9	5	0	0	0	2	2	4	0	4	1	1	5	36	2	20	13	252	2	5	7	58	91	14	0	0	0	0	0	0	
1304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	1	27	0	0	2	0	0	0	20	318	305	0	8	15	22	204	32	4	0	16	25	47	21	14	102	2	1	1	0	2	0	0	1	0	0	0	0	0	
1489	1	1	59	4	4	5	0	1	2	17	2	1	8	12	69	71	4	53	15	70	38	49	48	21	52	111	46	23	24	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	5	2	2	
1650	0	2	136	11	10	0	0	2	1	0	3	0	1	1	0	62	21	112	182	9	28	17	89	3	29	77	4	1	121	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	91	205	1	216	212	
2130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	77	76	58	51	70	74	64	74	52	1	0	0	1	2	1	0	2	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	6	3	1	1	6	0	0	0	0	0	0	
2147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	12	2	2	6	0	3	10	5	0	6	6	1	5	17	64	69	0	76	122	34	85	29	6	11	3	2	17	10	11	14	13	12	4	6	6	4	7	0	0	0	0	0	0	
2226	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	2	1	1	0	0	0	1	1	46	4	3	5	3	4	108	83	8	0	0	0	2	0	2	0	2	2	2	22	14	0	2	0	0	0	0	0	0	0	1	0	5	1	175	144	0	1	0	0	0	0	0	0	0	
2392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	487	0	8	11	
2576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	82	188	9	108	135	
2738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	2	0	6	1	2	1	15	26	22	30	54	34	11	20	14	6	18	10	12	6	4	0	1	1	32	0	0	9	3	0	0	1	0	3	0	0	0	0	15	40	28	21	11	17	25	0	0	0	0	0	0	
3169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	48	215	7	58	75	
3612	1	5	32	1	4	5	2	2	0	3	4	2	0	3	3	26	12	21	18	45	28	21	22	14	9	7	6	0	10	8	1	1	4	1	3	2	1	3	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	5	3	6	2	1	4	
