"","Site","Detail","Depth","EstSalt","Estuary","Info","rich","shannon","sampleID","Salinity_ppt_all","Conductivity_uS_cm","CH4_pw_air_ppmv","CH4_ug_m2_h","N2O_ug_m2_h","CO2_ug_m2_h","NEE_mgC_m2_m","GEP_mgC_m2_m","PAR_uE_m2_s","CH4_pot_umol_gdw_h","CO2_pot_umol_gdw_h","Cl_mgL","SO4_mgL","NH4_mgL","NO3_mgL","pH","PO4_mgL","Fe_mgL","Acetate_mgL","TotalVFA_uM","SR_umol_cm3_d","AMG_umol_cm3_d","TOC_mgL","TN_mgL","Br_mgL","DIN_mgL","DON_mgL","DOC_mgL","DIC_mgL","Na_mgL","K_mgL","Ca_mgL","Mn_mgL","Mg_mgL","Cu_mgL","Zn_mgL","sed_pH","sed_NH4_mgL","sed_NO3_mgL","sed_PO4_mgL","sed_Cl_mgL","sed_SO4_mgL","sed_per_C","sed_per_N","sed_CN","sed_per_org","sed_per_inorg","sed_Bulk_dens","sed_Fe_mgL","sed_Mn_mgL","sed_Cu_mgL","sed_Zn_mgL","N2_umol_m2_h","SOD_umol_m2_h","NO3_umol_m2_h","NH4_umol_m2_h","SRP_umol_m2_h","DON_umol_m2_h","Porosity","Salt","Field","Exp","Estuary2","ExpEstSalt","Estuary3","Est3Salt","MG_MT"
"Ran_d1_Rcc_e40_1","Soil mesocosm","TFM1@TFM2-40cm","0-5","Delaware_Freshwater","Delaware","TFM1@TFM2-40cm",4600,6.78351726389174,"Ran_d1_Rcc_e40_1",0.0963426236670281,NA,NA,48520.4562011347,-22.6277747472216,NA,NA,NA,NA,NA,NA,96.3426236670281,7.84523270451762,0.741257377617859,NA,NA,1.00212084622248,23.4763837517824,2.18019813827224,99.9436248215203,3.84397309382621e-06,0.00397025684152392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.607,"Freshwater","Lab","Field","Delaware",NA,"DE Field","DE Field_Freshwater",0.0708154506437768
"Ran_d1_Rcc_e40_2","Soil mesocosm","TFM1@TFM2-40cm","0-5","Delaware_Freshwater","Delaware","TFM1@TFM2-40cm",5142,7.07418017890034,"Ran_d1_Rcc_e40_2",0.130817688607455,NA,NA,11587.4802508935,-49.269210739488,NA,NA,NA,NA,NA,NA,130.817688607455,93.1948433960699,0.736441190152934,NA,NA,1.62010073034466,0.723878403207933,0,0,3.17819866178269e-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.704675,"Freshwater","Lab","Field","Delaware",NA,"DE Field","DE Field_Freshwater",0.0657954033348355
"Ran_d1_Sal_e40_1","Soil mesocosm","TFM1@OligoHal-40cm","0-5","Delaware_Oligohaline","Delaware","TFM1@OligoHal-40cm",4346,6.71530657862382,"Ran_d1_Sal_e40_1",1.46115279471001,NA,NA,41313.5041733908,-1.96354100947397e-13,NA,NA,NA,NA,NA,NA,1461.15279471001,15.4178101329716,4.5191200661139,NA,NA,17.6493647996089,36.4156647163867,5.39273126728866,508.177583546897,0.0984084781075353,0.0104249065108359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627075,"Oligohaline","Lab","Field","Delaware",NA,"DE Field","DE Field_Oligohaline",0.0636168691922802
"Ran_d1_Sal_e40_2","Soil mesocosm","TFM1@OligoHal-40cm","0-5","Delaware_Oligohaline","Delaware","TFM1@OligoHal-40cm",4340,6.39630435809559,"Ran_d1_Sal_e40_2",1.47714210500872,NA,NA,20050.086382837,160.918565029385,NA,NA,NA,NA,NA,NA,1477.14210500872,4.94901377798728,7.25332662376972,NA,NA,150.472853024912,55.2635949358081,30.9392219387501,1814.92884737162,0.0374002369662245,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70325,"Oligohaline","Lab","Field","Delaware",NA,"DE Field","DE Field_Oligohaline",0.0427606901725431
"Ran_d2_Rcc_e40_1","Soil mesocosm","TFM1@TFM2-40cm","5-15","Delaware_Freshwater","Delaware","TFM1@TFM2-40cm",4692,6.97434533700862,"Ran_d2_Rcc_e40_1",0.183330738913517,NA,NA,48520.4562011347,-22.6277747472216,NA,NA,NA,NA,NA,NA,183.330738913517,2.72071197882285,1.00864035328767,NA,NA,0.710657011678166,132.286350274514,28.74951044925,1462.22222703472,0.00699046649891637,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66075,"Freshwater","Lab","Field","Delaware",NA,"DE Field","DE Field_Freshwater",0.262331838565022
"Ran_d2_Rcc_e40_2","Soil mesocosm","TFM1@TFM2-40cm","5-15","Delaware_Freshwater","Delaware","TFM1@TFM2-40cm",4748,7.18122980849105,"Ran_d2_Rcc_e40_2",0.132489023560019,NA,NA,11587.4802508935,-49.269210739488,NA,NA,NA,NA,NA,NA,132.489023560019,26.9423543102795,0.204063387019777,NA,NA,1.62010073034466,18.1286575787617,4.53098804678725,160.779054355372,0.00028090665737573,0.000469191468746077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.773775,"Freshwater","Lab","Field","Delaware",NA,"DE Field","DE Field_Freshwater",0.0352422907488987
"Ran_d2_Sal_e40_1","Soil mesocosm","TFM1@OligoHal-40cm","5-15","Delaware_Oligohaline","Delaware","TFM1@OligoHal-40cm",4554,7.01115262902407,"Ran_d2_Sal_e40_1",1.04534281606488,NA,NA,41313.5041733908,-1.96354100947397e-13,NA,NA,NA,NA,NA,NA,1045.34281606488,21.9003205326794,0.974139324168985,NA,NA,472.998677240947,263.101035646126,380.019427920398,46460.1308865061,0.0524336860518964,0.922117018398395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.756,"Oligohaline","Lab","Field","Delaware",NA,"DE Field","DE Field_Oligohaline",0.576923076923077
"Ran_d2_Sal_e40_2","Soil mesocosm","TFM1@OligoHal-40cm","5-15","Delaware_Oligohaline","Delaware","TFM1@OligoHal-40cm",4309,6.75196814817552,"Ran_d2_Sal_e40_2",1.54155794740843,NA,NA,20050.086382837,160.918565029385,NA,NA,NA,NA,NA,NA,1541.55794740843,6.0113485590232,4.56224635251226,NA,NA,3.24312342860192,68.2811491467026,85.4460852808711,4443.92302491009,0.0195561848598844,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.732975,"Oligohaline","Lab","Field","Delaware",NA,"DE Field","DE Field_Oligohaline",0.12981298129813
"TS_FW_d1_12_1","Soil incubation","Freshwater 12wk","0-5","Delaware_Freshwater","Delaware","Freshwater 12wk",4753,7.11229242424512,"TS_FW_d1_12_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","Lab","Lab","Delaware",NA,"DE Lab","DE Lab_Freshwater",0.157187176835574
"TS_FW_d1_12_2","Soil incubation","Freshwater 12wk","0-5","Delaware_Freshwater","Delaware","Freshwater 12wk",1519,4.97624590666258,"TS_FW_d1_12_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","Lab","Lab","Delaware",NA,"DE Lab","DE Lab_Freshwater",0.290322580645161
