#Sample	chao1	observed_species	shannon	simpson
Ran_d1_Rcc_e00_1	7071.44485294	5074.0	9.9866078494	0.993966809286
Ran_d1_Rcc_e00_2	8857.28673469	5816.0	10.2090279567	0.993484135967
Ran_d1_Rcc_e40_1	9236.57862282	5857.0	9.81087834594	0.995333393082
Ran_d1_Rcc_e40_2	9472.58317025	5960.0	9.64311464832	0.986739529098
Ran_d1_Sal_e00_1	9357.35817805	5803.0	9.71032841713	0.993255774285
Ran_d1_Sal_e00_2	8256.4964539	5085.0	9.91246526667	0.995399462508
Ran_d1_Sal_e40_1	8303.50475059	5169.0	9.39390271856	0.99268319458
Ran_d1_Sal_e40_2	8923.78017241	5630.0	9.25947313929	0.990054654519
Ran_d1_Stw_e00_1	7753.70308789	5076.0	8.33888803136	0.96612296609
Ran_d1_Stw_e00_2	6545.28790199	4284.0	9.0921635039	0.993556315792
Ran_d1_Stw_e40_1	7081.85340909	5113.0	9.53601980012	0.995143983173
Ran_d1_Stw_e40_2	8401.4159812	5327.0	9.76097299705	0.995785886445
Ran_d1_Stw_e40_3	8241.01708428	5511.0	9.50602489502	0.989287295956
Ran_d2_Rcc_e00_1	8001.06779661	5305.0	9.08711293757	0.978444662487
Ran_d2_Rcc_e00_2	7620.97930142	4904.0	9.97316868411	0.996405800505
Ran_d2_Rcc_e40_1	9518.6932814	6411.0	10.1039434559	0.996176486411
Ran_d2_Rcc_e40_2	8122.75521405	5715.0	10.3862265496	0.997414552808
Ran_d2_Sal_e00_1	7608.89290012	5275.0	10.1159084955	0.997126827056
Ran_d2_Sal_e00_2	6702.39215686	4642.0	9.83312185635	0.996113938127
Ran_d2_Sal_e40_1	8927.90872618	6176.0	10.1511963316	0.99699462369
Ran_d2_Sal_e40_2	8911.14191419	5962.0	9.79257730006	0.993286573507
Ran_d2_Stw_e00_1	7845.31048387	4832.0	9.6172018464	0.993902819189
Ran_d2_Stw_e00_2	7873.49002494	5224.0	9.60484034137	0.994583918586
Ran_d2_Stw_e40_1	7838.25765306	5091.0	9.30542581843	0.99471996776
Ran_d2_Stw_e40_2	8097.31278539	5386.0	9.65812688718	0.993329338294
Ran_d2_Stw_e40_3	3358.87439614	1562.0	5.24041836744	0.92051461041
TS_FW_d1_00_1	8753.52307692	5749.0	10.0922436745	0.996758692453
TS_FW_d1_00_2	8802.01006711	5509.0	10.1551601201	0.996835191411
TS_FW_d1_04_1	8377.11048478	5276.0	10.0345836791	0.996567708928
TS_FW_d1_04_2	9388.7804878	6060.0	10.2430380126	0.996837939818
TS_FW_d1_07_1	9355.32358491	6074.0	10.030496836	0.9959430708
TS_FW_d1_07_2	10689.5804196	6820.0	10.1475871711	0.995188871843
TS_FW_d1_12_1	8119.14849188	5313.0	10.2630837973	0.997288001294
TS_FW_d1_12_2	3408.0	1958.0	7.16538362596	0.980697216291
TS_FW_d2_00_1	8580.20901639	5843.0	10.2505745812	0.996987398464
TS_FW_d2_00_2	8352.36518771	5207.0	10.3374299627	0.997421551774
TS_FW_d2_04_1	9823.05408063	6235.0	9.76948140795	0.994111313452
TS_FW_d2_04_2	8672.2238342	5741.0	9.3839508523	0.988295780071
TS_FW_d2_07_1	8669.65765766	6053.0	10.1864262143	0.99664809226
TS_FW_d2_07_2	8735.78811881	6109.0	10.4820955035	0.997863808557
TS_FW_d2_12_1	7932.06775701	5137.0	9.30187113182	0.990980573578
TS_FW_d2_12_2	3705.51898734	2273.0	7.65248938104	0.979916566631
TS_SW_d1_04_1	8237.80863477	5246.0	9.6781515314	0.995668159974
TS_SW_d1_04_2	8897.04166667	5806.0	9.98724493681	0.996640390527
TS_SW_d1_07_1	8268.39837398	5301.0	9.77585903387	0.995919636168
TS_SW_d1_07_2	10053.2089826	6711.0	10.383649057	0.997588907044
TS_SW_d1_12_1	7047.16642121	4490.0	9.44537185086	0.994751336516
TS_SW_d1_12_2	9112.06542969	6230.0	10.3393153654	0.997591254613
TS_SW_d2_04_1	8311.42134831	5428.0	9.63430166304	0.994163468429
TS_SW_d2_04_2	7079.68600683	4871.0	10.0567929619	0.996235462124
TS_SW_d2_07_1	8001.18994413	5501.0	10.1624521608	0.997186993003
TS_SW_d2_07_2	7938.1878453	5395.0	10.4033950324	0.997483113918
TS_SW_d2_12_1	8515.59375	5862.0	10.179536879	0.996967859095
TS_SW_d2_12_2	6868.88923077	4011.0	9.55436551756	0.992826157566
d1_Ran_0_1	8316.18541033	5881.0	10.1466336021	0.996783172272
d1_Ran_0_2	11189.07633	7723.0	10.4657298247	0.995092980011
d1_Ran_F_e00_1	8646.04271632	5592.0	9.58447213386	0.984326779804
