#OTU	Ran_d1_Rcc_e00_1	Ran_d1_Rcc_e00_2	Ran_d1_Rcc_e40_1	Ran_d1_Rcc_e40_2	Ran_d1_Sal_e00_1	Ran_d1_Sal_e00_2	Ran_d1_Sal_e40_1	Ran_d1_Sal_e40_2	Ran_d1_Stw_e00_1	Ran_d1_Stw_e00_2	Ran_d1_Stw_e40_1	Ran_d1_Stw_e40_2	Ran_d1_Stw_e40_3	Ran_d2_Rcc_e00_1	Ran_d2_Rcc_e00_2	Ran_d2_Rcc_e40_1	Ran_d2_Rcc_e40_2	Ran_d2_Sal_e00_1	Ran_d2_Sal_e00_2	Ran_d2_Sal_e40_1	Ran_d2_Sal_e40_2	Ran_d2_Stw_e00_1	Ran_d2_Stw_e00_2	Ran_d2_Stw_e40_1	Ran_d2_Stw_e40_2	Ran_d2_Stw_e40_3	TS_FW_d1_00_1	TS_FW_d1_00_2	TS_FW_d1_04_1	TS_FW_d1_04_2	TS_FW_d1_07_1	TS_FW_d1_07_2	TS_FW_d1_12_1	TS_FW_d1_12_2	TS_FW_d2_00_1	TS_FW_d2_00_2	TS_FW_d2_04_1	TS_FW_d2_04_2	TS_FW_d2_07_1	TS_FW_d2_07_2	TS_FW_d2_12_1	TS_FW_d2_12_2	TS_SW_d1_04_1	TS_SW_d1_04_2	TS_SW_d1_07_1	TS_SW_d1_07_2	TS_SW_d1_12_1	TS_SW_d1_12_2	TS_SW_d2_04_1	TS_SW_d2_04_2	TS_SW_d2_07_1	TS_SW_d2_07_2	TS_SW_d2_12_1	TS_SW_d2_12_2	d1_Ran_0_1	d1_Ran_0_2	d1_Ran_F_e00_1	d1_Ran_F_e00_2	d1_Ran_F_e40_1	d1_Ran_F_e40_2	d1_Rcc_0_1	d1_Rcc_F_e00_1	d1_Rcc_F_e00_2	d1_Rcc_F_e40_1	d1_Rcc_F_e40_2	d1_Sal_0_1	d1_Sal_F_e00_1	d1_Sal_F_e00_2	d1_Sal_F_e40_1	d1_Sal_F_e40_2	d1_Stw_0_1	d1_Stw_F_e00_1	d1_Stw_F_e00_2	d1_Stw_F_e40_1	d2_Ran_0_1	d2_Ran_0_2	d2_Ran_F_e00_1	d2_Ran_F_e40_1	d2_Ran_F_e40_2	d2_Rcc_0_1	d2_Rcc_F_e00_1	d2_Rcc_F_e40_1	d2_Rcc_F_e40_2	d2_Sal_0_1	d2_Sal_F_e00_1	d2_Sal_F_e00_2	d2_Sal_F_e40_1	d2_Sal_F_e40_2	d2_Stw_0_1	d2_Stw_F_e00_1	d2_Stw_F_e00_2	d2_Stw_F_e40_1	Consensus lineage
450	0	0	0	1	0	0	1	0	29	13	16	1	14	2	1	4	2	0	4	2	0	5	4	18	18	383	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	2	11	1	5	19	1	0	0	111	7	0	1	1	137	8	19	1	1	25	5	2	0	1	1	1	1	0	20	2	1	0	162	411	170	
1493	0	0	0	0	1	0	0	0	0	3	0	0	5	0	0	3	0	0	0	1	0	0	0	0	1	28	0	0	0	0	0	0	0	401	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	6	0	0	0	21	1	0	0	0	3	0	2	0	1	13	0	0	0	0	0	0	0	0	0	1	0	1	9	18	6	
1553	18	10	17	26	13	10	25	1	0	1	1	0	2	0	0	0	1	1	0	0	0	0	1	0	3	0	9	12	6	0	4	14	6	0	1	0	20	1	0	0	0	0	12	22	8	9	13	1	0	1	0	0	0	0	0	15	22	11	3	3	36	16	8	14	21	2	9	1	1	4	1	0	1	0	14	0	1	0	3	7	0	3	0	44	1	2	0	1	0	0	0	0	
1827	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	46	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	311	0	9	49	
1837	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	1	0	0	0	0	0	0	47	6	31	12	12	5	41	0	14	9	0	28	8	9	7	0	9	5	42	11	0	5	9	8	16	10	16	4	2	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	6	1	12	0	25	2	0	0	0	0	0	3	0	0	0	
1843	2	0	2	4	0	0	0	0	0	0	0	19	0	0	0	13	0	0	2	3	0	1	0	0	1	0	30	7	17	3	20	12	27	0	3	8	12	12	1	8	8	0	15	13	18	12	11	10	8	6	1	2	4	6	0	1	0	2	0	3	6	0	1	2	5	0	0	0	0	0	0	0	0	0	2	0	0	21	3	29	0	29	2	1	0	0	0	0	0	0	0	0	
1985	1	1	9	3	42	42	24	18	5	5	44	0	22	0	0	0	0	0	0	0	0	2	0	32	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	6	0	0	4	3	0	5	12	0	27	6	17	26	2	8	7	1	2	0	0	0	0	0	0	0	0	3	2	2	0	0	0	1	0	1	
2112	0	0	1	5	9	1	33	29	0	0	0	0	0	0	0	0	0	1	0	4	43	0	1	0	0	0	2	5	2	0	0	3	1	0	1	0	0	0	0	0	0	0	4	1	7	0	3	0	0	0	0	0	5	0	0	0	0	0	1	0	2	0	0	9	1	0	53	27	12	17	1	0	0	0	39	0	0	4	5	0	0	0	1	0	13	11	3	4	0	0	0	0	
2142	0	0	0	0	0	0	0	0	0	0	0	0	0	51	2	0	0	0	2	34	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	13	3	13	55	0	0	0	2	0	0	0	13	1	16	0	19	84	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
